Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Redução da Variabilidade de Massa Linear;"A laminadora a frio é um equipamento industrial projetado para a redução de diâmetro e adição de nervuras em fios de aço. Este processo é realizado por meio de ferramentas denominadas cassetes, que podem ser configurados por meio de dois eixos. Durante o processo, o fio de aço é conformado no cassete, adquirindo a forma desejada. Nesse contexto, diversas variáveis, como temperatura, velocidade e desgaste dos discos do cassete, influenciam diretamente no resultado do processo.
No entanto, essas variáveis não podem ser detectadas durante a produção, sendo possível apenas ao término do processo de fabricação. Para solucionar este problema é necessário instalar equipamentos para ajustes nos cassetes e monitoramento contínuo do diâmetro do fio de aço nervurado em produção. Isso
permitirá ajustes na conformação do fio de aço durante a produção. Os dados coletados são transmitidos a um computador industrial, que processa e envia os valores de medição ao Controlador Lógico Programável (CLP), que controla
os ajustes no cassete. Durante o processamento dos dados do sensor, um algoritmo verifica a presença de deformações na peça e registra esses valores em um banco de dados para a contínua aprendizagem do processo. O algoritmo de machine
learning tem como objetivo aprender e colaborar com o CLP na produção dos quatro tipos distintos de fios de aço nervurado, garantindo a qualidade e a eficiência do processo de fabricação, assim como reduzindo as perdas.";Concluído;SINOBRAS FLORESTAL LTDA EM RECUPERACAO JUDICIAL;Grande;TO;6;Não é CEIS;01/11/2023;INSTITUTO ATLÂNTICO;4;6;Indústria de base;Indústria siderúrgica e metalúrgica;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Manta Biodegradável;A manta  FertUP e Biomanta-PRÓ é uma tecnologia única, que engloba múltiplos benefícios, sendo de nutrição, retenção de umidade, redução de tratos culturais, proteção de  sementes,  eliminação de riscos de erosão e desmoronamento de solos, entre outros. Assim a produção e testes das mantas em maior escala se tornam importantes para expandir o produto para o mercado.;Cancelado;WERLEY SOARES DIAS;Microempresa;MG;1;Não é CEIS;25/10/2023;UFV - Fibras Florestais;7;8;Produção agropecuária;Automação e mecanização agrícola;Automação e Robótica;Controle e Automação de Processos
Manta Biodegradável;A manta  FertUP e Biomanta-PRÓ é uma tecnologia única, que engloba múltiplos benefícios, sendo de nutrição, retenção de umidade, redução de tratos culturais, proteção de  sementes,  eliminação de riscos de erosão e desmoronamento de solos, entre outros. Assim a produção e testes das mantas em maior escala se tornam importantes para expandir o produto para o mercado.;Cancelado;ELLO FERTILIZA LTDA;Microempresa;MG;2;Não é CEIS;25/10/2023;UFV - Fibras Florestais;7;8;Produção agropecuária;Automação e mecanização agrícola;Automação e Robótica;Controle e Automação de Processos
Projeto Furycane Energy Drink;Projeto destinado ao desenvolvimento de bebida energética agradável ao paladar contendo componentes estimulantes.;Concluído;FURYCANE ESCRITORIO ADMINISTRATIVO LTDA;Microempresa;SP;1;Não é CEIS;30/10/2023;SENAI/SP - Distrito Tecnológico;3;5;Alimentos e bebidas;Bebidas;Tecnologias químicas;Alimentos
Sementes híbridas;"Diante do atual cenário desafiador, tanto de mercado quanto da manutenção de altas produtividades florestais, é estratégico para as empresas que dependem da madeira de Eucalyptus e Corymbia, ter alternativas de melhor qualidade para produção de sua própria matéria-prima. Havendo a possibilidade de eventos futuros ameaçarem a estabilidade e a integridade das suas plantações florestais (déficit hídrico, doenças, pragas), investir em programa de melhoramento genético em que as metas e as estratégias são bem definidas têm se mostrado ser
muito eficiente, e com ganhos de produtividade e qualidade significativos. Sendo assim o projeto visa desenvolver sementes híbridas de Eucalyptus spp. melhoradas com características específicas de seus indivíduos com qualidade e produtividade: altas densidade, alta lignina, alto carbono fixo e outras características importantes para a produção de carvão vegetal para a siderurgia.";Em andamento;SINOBRAS FLORESTAL LTDA EM RECUPERACAO JUDICIAL;Grande;TO;6;Não é CEIS;14/07/2024;UFV - Fibras Florestais;4;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Controle Automatizado de Fornalhas Com o Uso de Machine  Learning;"O trabalho manual no controle de carbonização apresenta uma 
complexidade para a Sinobras Florestal em gerir todo o processo 
de forma integrada, com isso, surge como resposta para os 
desafios para o ramo, a necessidade de integrar o poder do 
machine learning à automação das fornalhas, impulsionando a 
produtividade, reduzindo custos e minimizando o impacto social. 
Com o poder da inteligência artificial, cada etapa do processo 
produtivo será digitalizada e automatizada, desde a análise da 
matéria-prima antes da entrada do forno até o tempo ideal de 
fornalha. A automação inteligente dos “tatus” (entrada de 
oxigênio) garantirá a homogeneidade do produto acabado e a 
redução do desperdício, o que impulsiona a eficiência 
operacional a níveis surpreendentes. 
Sendo assim, a automatização dos fornos com uso de 
inteligência artificial representa um salto enorme na indústria do 
carvão, abrindo caminho para um futuro mais próspero, eficiente 
e sustentável.";Concluído;SINOBRAS FLORESTAL LTDA EM RECUPERACAO JUDICIAL;Grande;TO;6;Não é CEIS;27/12/2024;INSTITUTO ATLÂNTICO;3;6;Processos industriais;Gestão da produção e operações;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Estabelecimento de bancos celulares e validação de métodos para a produção de lotes clínicos de Produto de Terapia Avançada para o tratamento da ceratoconjuntivite seca (Dry Eye Disease);A ceratoconjuntivite seca (CCS) é uma doença ocular crônica que tem se tornado um problema de saúde pública. É caracterizada pela perda da homeostase do filme lacrimal e pode ser classificada em duas categorias: deficiência aquosa ou evaporativa da lágrima. Um marcador da doença é a hiperosmolaridade do filme lacrimal, que pode danificar a superfície ocular por induzir inflamação. O tratamento da CCS envolve principalmente o alívio dos sintomas através do uso de medicamentos tópicos, mas essas abordagens são paliativas e não abordam a causa subjacente da doença. Atualmente, tem-se desenvolvido e explorado outros métodos de tratamento para a CCS tais como terapias baseadas em vesículas extracelulares (VEs) secretadas por células-tronco mesenquimais que, através da liberação de moléculas bioativas, restauram a homeostase da superfície ocular, reduzindo significativamente os sintomas. O objetivo deste projeto é o desenvolvimento pré-clínico de um colírio formulado a partir destas VEs para o tratamento da CCS.;Em andamento;BIO STEM BIOTECNOLOGIA LTDA;Microempresa;DF;1;Não é CEIS;30/10/2023;IDOR;4;5;Complexo industrial da saúde;Produtos farmacêuticos e insumos estratégicos;Biotecnologia;Biotecnologia Médica (vermelha)
PRODUÇÃO DE ETANOL A PARTIR DA CANA DE AÇÚCAR (1G E 2G) E DO  MILHO (1,5G);O presente projeto baseia-se no desenvolvimento de um processo robusto e escalável para produção de etanol utilizando três microrganismos selecionados em biorreator piloto, utilizando melaço (E1G), hidrolisado celulósico (E2G) e hidrolisado  de milho (E1,5G). O presente projeto tem como objetivo ajustar, validar e escalonar os protocolos de produção de etanol elaborados em biorreatores de bancada para  biorreator piloto de 75 L, de modo que se possa maximizar a viabilidade do processo  industrial do etanol 2G e melhorar sua competitividade de custos.;Concluído;ALEXANDRE DE FRANCA EQUIPAMENTOS E APARELHOS ELETRICOS;Microempresa;SP;1;Não é CEIS;30/10/2023;IPT-Bio;4;5;Energia renovável;Biomassa (biodiesel) e biogás;Biotecnologia;Biotecnologia Industrial (branca)
Munique;Sistema de controle para freios;Concluído;MOBILIS VEICULOS ELETRICOS LTDA - ME;Microempresa;SC;4;Não é CEIS;02/10/2024;SENAI ISI SENSORIAMENTO;3;4;Veículos e sistemas autopropelidos;Veículos pesados;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Investigation of  natural origin actives for the development of advanced hair products  to promote cleaning/hydration and fast rinsing;"O objetivo do projeto é desenvolver formulações (líquidas e sólidas) para aplicação como shampoo e condicionador a base de biossurfactantes e agentes formadores de espuma (origem biológica e baixa permanência), a fim de condicionar/formar um filme sobre 
a fibra e facilitar e/ou evitar o enxague excessivo, reduzindo a quantidade de água necessária nessa etapa, sem impacto negativo em outros atributos avaliados durante o uso. Os principais atributos de performance que devem constar no foco são, para shampoos 
volume e textura de espuma, poder de detergência, condicionamento, maciez e atributos visuais como brilho, alinhamento, controle de frizz e definição de cacheados (em todos os momentos da aplicação – aplicação, úmido e seco) e para condicionadores atributos de 
cosmeticidade e visuais (maciez, desembaraço, rapidez de transformação, brilho, alinhamento, controle de frizz/volume, definicação de cachos).";Concluído;L'OREAL BRASIL PESQUISA E INOVACAO LTDA.;Grande;RJ;3;Não é CEIS;31/10/2023;SENAI ISI ELETROQUÍMICA;3;5;Outras indústrias de transformação;Cosméticos;Biotecnologia;Biotecnologia Industrial (branca)
Zurique;Instrumentação para sistemas de freio de locomotivas;Concluído;MOBILIS VEICULOS ELETRICOS LTDA - ME;Microempresa;SC;4;Não é CEIS;02/10/2024;SENAI ISI SENSORIAMENTO;3;5;Veículos e sistemas autopropelidos;Outros modais e tipos;Instrumentação e Sistemas Embarcados;Instrumentação de Medição e Teste
Desenvolvimento de Solução Digital para Auxílio na Tomada de Decisão em Processos de União e Reparo;"Como objetivo geral do projeto, pretende-se contribuir com a inovação e digitização do Setor de Óleo, Gás e Biocombustíveis por meio do
desenvolvimento de solução digital (SDSOLDA), para auxílio na tomada de decisão em processos de união e reparo, mitigando riscos de
integridade";Em andamento;PETROLEO BRASILEIRO S A PETROBRAS;Grande;RN;14;Não é CEIS;31/10/2023;FEMEC-UFU;4;6;Petróleo e gás;Armazenamento e distribuição de combustíveis;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Chicago;Controlador modular de pequeno porte para otimização da eficiência de conversão de energia integrado com sistema de sensoriamento e comunicação.;Concluído;MOBILIS VEICULOS ELETRICOS LTDA - ME;Microempresa;SC;4;Não é CEIS;04/10/2024;SENAI ISI SENSORIAMENTO;4;6;Energia renovável;Energia solar fotovoltaica;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Obtenção de extrato à base de Anacardiaceae com potencial fitoterápico;O projeto prevê o desenvolvimento de um novo extrato a base do tronco de uma planta pertencente à família Anacardiaceae, planta detentora de uma potente e seletividade atividade imunomoduladora frente a ativação de macrófagos e função linfocitária.;Concluído;MIRIAM DOS REIS FRANCO 09314881504;Microempresa;BA;1;Não é CEIS;01/11/2023;CIMATEC;3;4;Complexo industrial da saúde;Produtos farmacêuticos e insumos estratégicos;Biotecnologia;Biotecnologia Médica (vermelha)
TuboMaq - Automação de Máquinas de Tubos;"A proposta para atendimento da demanda supracitada concentra-se num projeto de melhoria para uma máquina, em processo de construção, que fabrica tubos/canos (para lareiras, fogões à lenha, aquecedores à gás e calhas) a partir de chapas em aço galvanizado e aço inox. O processo inicia-se efetivamente no sistema de alimentação das bobinas que contém as chapas as quais serão conformadas. O deslocamento das bobinas à máquina deve ser realizado de forma autônoma até o desbobinador no início do processo. Ao entrar na linha de produção a chapa passará pela guilhotina (caso seja preciso cortá-la) sistemas de tração, conformação, pré-corte, fabricação do colarinho e/ou curva, etiquetagem, corte e paletização do produto final. Tais tubos poderão possuir diâmetro variável entre 100mm e 200mm nos dois materiais mencionados com espessura entre 0,33mm e 1mm. Um processo de tracionamento da chapa metálica (a partir do desbobinador) apoiado por rolos de condução enviarão a chapa ao conformador por extrusão tipo cone/funil. No processo de tracionamento, as extremidades laterais da chapa serão dobradas para formar o sistema de fechamento que posteriormente será comprimido após a passagem pelo conformador. O fechamento do tubo permite que o pré-corte seja realizado para posteriormente conformar o colarinho em sua extremidade, ambos configurados na interface homem máquina – IHM. Tal interface permitirá a escolha do produto, troca do diâmetro e o comprimento do tubo fabricado através de um sistema simples, robusto e de fácil operação, atendendo às normas
de segurança pertinentes. O controle do sistema de tração, velocidade e demais variáveis envolvidas também serão objetos configuráveis e estarão disponíveis na mesma IHM. O sistema de gestão da produção estará conectado via rede local entre a máquina e o ERP da empresa. Tal sistema proporcionará o controle dos pedidos integrados à execução da máquina ofertando a possibilidade da elaboração de estratégias para melhoria dos produtos
fabricados.";Concluído;CINCA COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;Pequena;RS;2;Não é CEIS;03/09/2024;ITEC-FURG;3;7;Outras indústrias de transformação;Outros bens manufaturados;Automação e Robótica;Controle e Automação de Processos
